,date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
129868,2019-10-03 14:03:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.289,1.429,1.389,1,1,1
130822,2019-10-03 14:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.429,1.409,1,1,1
132453,2019-10-03 14:08:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.239,1.379,1.359,1,1,1
135846,2019-10-03 14:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.399,1.359,1,1,1
141083,2019-10-03 14:37:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.389,1.369,1,1,1
144521,2019-10-03 14:49:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.389,1.349,1,1,1
146680,2019-10-03 14:57:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.379,1.359,1,1,1
161837,2019-10-03 16:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.429,1.389,1,1,1
162291,2019-10-03 16:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.419,1.399,1,1,1
166193,2019-10-03 16:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.419,1.399,1,1,1
178413,2019-10-03 17:02:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.289,1.429,1.389,1,0,0
179563,2019-10-03 17:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.419,1.399,1,0,0
180639,2019-10-03 17:08:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.239,1.379,1.359,1,1,1
184053,2019-10-03 17:19:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.399,1.359,1,1,1
184496,2019-10-03 17:21:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.399,1.379,1,1,1
190556,2019-10-03 17:40:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.389,1.349,1,1,1
203338,2019-10-03 18:45:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.389,1.369,1,1,1
205205,2019-10-03 19:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.419,1.399,1,1,1
207331,2019-10-03 19:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.409,1.349,1,1,0
219507,2019-10-03 20:21:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.239,1.379,1.359,1,1,1
221336,2019-10-03 20:31:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.389,1.349,1,1,0
224669,2019-10-03 21:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.379,1.359,1,1,1
225619,2019-10-03 21:37:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.379,1.359,1,0,0
227571,2019-10-03 22:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.439,1.419,1,1,1
227938,2019-10-03 22:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.449,1.409,1,1,1
229768,2019-10-03 22:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.429,1.409,1,1,1
1208,2019-10-04 05:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.509,1,1,1
2953,2019-10-04 05:01:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.379,1.529,1.509,1,1,1
6995,2019-10-04 05:17:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.519,1.499,1,1,1
8424,2019-10-04 05:28:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.489,0,0,1
24411,2019-10-04 07:33:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.339,1.479,1.439,1,1,1
30806,2019-10-04 07:54:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.349,1.489,1.469,1,1,1
37798,2019-10-04 08:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.469,1.449,1,1,1
40215,2019-10-04 08:27:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.329,1.479,1.459,1,1,1
43054,2019-10-04 08:38:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.469,1.429,1,1,1
46019,2019-10-04 08:52:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.449,1.429,1,1,1
48669,2019-10-04 09:06:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,1
